,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,language
499,,,59.99,,,,,,,,,
500,,,7.99,,,,,,,,,
501,,,39.0,,,,,,,,,
502,,,24.95,,,,,,,,,
503,,,49.99,,,,,,,,,
504,,,48.72,,,,,,,,,
505,,,39.99,,,,,,,,,
506,,,46.491537396121885,,,,,,,,,
507,,,15.0,,,,,,,,,
508,,,29.99,,,,,,,,,
509,,,39.49,,,,,,,,,
510,,,21.27,,,,,,,,,
511,,,39.99,,,,,,,,,
512,,,14.99,,,,,,,,,
513,,,46.491537396121885,,,,,,,,,
514,,,46.99,,,,,,,,,
515,,,44.99,,,,,,,,,
516,,,39.99,,,,,,,,,
517,,,37.21,,,,,,,,,
518,,,46.491537396121885,,,,,,,,,
519,,,41.99,,,,,,,,,
520,,,17.99,,,,,,,,,
521,,,46.491537396121885,,,,,,,,,
522,,,29.95,,,,,,,,,
523,,,49.99,,,,,,,,,
524,,,51.99,,,,,,,,,
525,,,46.99,,,,,,,,,
526,,,44.99,,,,,,,,,
527,,,51.99,,,,,,,,,
528,,,9.48,,,,,,,,,
529,,,46.491537396121885,,,,,,,,,
530,,,62.99,,,,,,,,,
531,,,24.38,,,,,,,,,
532,,,13.66,,,,,,,,,
533,,,51.99,,,,,,,,,
534,,,7.99,,,,,,,,,
535,,,31.5,,,,,,,,,
536,,,51.63,,,,,,,,,
537,,,46.99,,,,,,,,,
538,,,50.23,,,,,,,,,
539,,,59.99,,,,,,,,,
540,,,19.99,,,,,,,,,
541,,,46.491537396121885,,,,,,,,,
542,,,40.99,,,,,,,,,
543,,,33.49,,,,,,,,,
544,,,49.99,,,,,,,,,
545,,,40.49,,,,,,,,,
546,,,34.3,,,,,,,,,
547,,,41.99,,,,,,,,,
548,,,46.491537396121885,,,,,,,,,
549,,,41.99,,,,,,,,,
550,,,37.99,,,,,,,,,
551,,,44.49,,,,,,,,,
552,,,46.491537396121885,,,,,,,,,
553,,,39.99,,,,,,,,,
554,,,46.491537396121885,,,,,,,,,
555,,,9.59,,,,,,,,,
556,,,,,,,,,,,,
557,,,29.99,,,,,,,,,
558,,,,,,,,,,,,
559,,,18.96,,,,,,,,,
560,,,38.24,,,,,,,,,
561,,,12.74,,,,,,,,,
562,,,19.95,,,,,,,,,
563,,,34.0,,,,,,,,,
564,,,46.491537396121885,,,,,,,,,
565,,,57.4,,,,,,,,,
566,,,30.49,,,,,,,,,
567,,,55.0,,,,,,,,,
568,,,13.99,,,,,,,,,
569,,,18.85,,,,,,,,,
570,,,46.99,,,,,,,,,
571,,,46.491537396121885,,,,,,,,,
572,,,43.49,,,,,,,,,
573,,,39.95,,,,,,,,,
574,,,34.95,,,,,,,,,
575,,,19.37,,,,,,,,,
576,,,46.491537396121885,,,,,,,,,
577,,,24.9,,,,,,,,,
578,,,57.99,,,,,,,,,
579,,,46.491537396121885,,,,,,,,,
580,,,16.38,,,,,,,,,
581,,,4.99,,,,,,,,,
582,,,9.99,,,,,,,,,
583,,,19.95,,,,,,,,,
584,,,35.99,,,,,,,,,
585,,,17.39,,,,,,,,,
586,,,39.99,,,,,,,,,
587,,,16.59,,,,,,,,,
588,,,14.99,,,,,,,,,
589,,,28.56,,,,,,,,,
590,,,23.06,,,,,,,,,
591,,,49.35,,,,,,,,,
592,,,16.99,,,,,,,,,
593,,,0.99,,,,,,,,,
594,,,23.99,,,,,,,,,
595,,,4.99,,,,,,,,,
596,,,54.51,,,,,,,,,
597,,,16.63,,,,,,,,,
598,,,34.99,,,,,,,,,
599,,,,,,,,,,,,
600,,,19.99,,,,,,,,,
601,,,14.4,,,,,,,,,
602,,,18.99,,,,,,,,,
603,,,79.0,,,,,,,,,
604,,,4.99,,,,,,,,,
605,,,46.99,,,,,,,,,
606,,,41.43,,,,,,,,,
607,,,39.99,,,,,,,,,
608,,,59.99,,,,,,,,,
609,,,49.99,,,,,,,,,
610,,,46.491537396121885,,,,,,,,,
611,,,12.73,,,,,,,,,
612,,,13.79,,,,,,,,,
613,,,20.58,,,,,,,,,
614,,,46.491537396121885,,,,,,,,,
615,,,49.99,,,,,,,,,
616,,,,,,,,,,,,
617,,,34.99,,,,,,,,,
618,,,69.95,,,,,,,,,
619,,,46.491537396121885,,,,,,,,,
620,,,6.04,,,,,,,,,
621,,,59.29,,,,,,,,,
622,,,39.99,,,,,,,,,
623,,,45.49,,,,,,,,,
624,,,54.0,,,,,,,,,
625,,,79.99,,,,,,,,,
626,,,46.491537396121885,,,,,,,,,
627,,,39.49,,,,,,,,,
628,,,46.491537396121885,,,,,,,,,
629,,,46.99,,,,,,,,,
630,,,58.55,,,,,,,,,
631,,,7.95,,,,,,,,,
632,,,28.99,,,,,,,,,
633,,,23.99,,,,,,,,,
634,,,25.49,,,,,,,,,
635,,,46.99,,,,,,,,,
636,,,36.99,,,,,,,,,
637,,,19.49,,,,,,,,,
638,,,,,,,,,,,,
639,,,46.491537396121885,,,,,,,,,
640,,,64.99,,,,,,,,,
641,,,2.99,,,,,,,,,
642,,,51.99,,,,,,,,,
643,,,32.23,,,,,,,,,
644,,,31.99,,,,,,,,,
645,,,43.14,,,,,,,,,
646,,,23.99,,,,,,,,,
647,,,46.491537396121885,,,,,,,,,
648,,,43.49,,,,,,,,,
649,,,48.99,,,,,,,,,
650,,,39.99,,,,,,,,,
651,,,46.491537396121885,,,,,,,,,
652,,,25.98,,,,,,,,,
653,,,29.59,,,,,,,,,
654,,,46.491537396121885,,,,,,,,,
655,,,19.49,,,,,,,,,
656,,,60.0,,,,,,,,,
657,,,35.49,,,,,,,,,
658,,,,,,,,,,,,
659,,,17.99,,,,,,,,,
660,,,25.49,,,,,,,,,
661,,,,,,,,,,,,
662,,,44.49,,,,,,,,,
663,,,50.99,,,,,,,,,
664,,,17.49,,,,,,,,,
665,,,47.99,,,,,,,,,
666,,,10.99,,,,,,,,,
667,,,31.99,,,,,,,,,
668,,,28.95,,,,,,,,,
669,,,5.99,,,,,,,,,
670,,,35.99,,,,,,,,,
671,,,46.491537396121885,,,,,,,,,
672,,,80.0,,,,,,,,,
673,,,24.33,,,,,,,,,
674,,,16.89,,,,,,,,,
675,,,59.95,,,,,,,,,
676,,,16.95,,,,,,,,,
677,,,,,,,,,,,,
678,,,48.99,,,,,,,,,
679,,,20.0,,,,,,,,,
680,,,46.491537396121885,,,,,,,,,
681,,,38.84,,,,,,,,,
682,,,31.49,,,,,,,,,
683,,,24.0,,,,,,,,,
684,,,11.99,,,,,,,,,
685,,,,,,,,,,,,
686,,,,,,,,,,,,
687,,,49.48,,,,,,,,,
688,,,21.49,,,,,,,,,
689,,,36.61,,,,,,,,,
690,,,46.491537396121885,,,,,,,,,
691,,,54.99,,,,,,,,,
692,,,4.99,,,,,,,,,
693,,,14.99,,,,,,,,,
694,,,69.99,,,,,,,,,
695,,,,,,,,,,,,
696,,,64.95,,,,,,,,,
697,,,55.97,,,,,,,,,
698,,,19.89,,,,,,,,,
699,,,10.99,,,,,,,,,
700,,,35.74,,,,,,,,,
701,,,46.491537396121885,,,,,,,,,
702,,,63.88,,,,,,,,,
703,,,27.0,,,,,,,,,
704,,,17.84,,,,,,,,,
705,,,4.99,,,,,,,,,
706,,,14.99,,,,,,,,,
707,,,46.99,,,,,,,,,
708,,,51.0,,,,,,,,,
709,,,75.83,,,,,,,,,
710,,,36.99,,,,,,,,,
711,,,23.48,,,,,,,,,
712,,,53.64,,,,,,,,,
713,,,6.99,,,,,,,,,
714,,,37.21,,,,,,,,,
715,,,55.0,,,,,,,,,
716,,,3.99,,,,,,,,,
717,,,31.99,,,,,,,,,
718,,,46.491537396121885,,,,,,,,,
719,,,46.491537396121885,,,,,,,,,
720,,,,,,,,,,,,
721,,,53.98,,,,,,,,,
722,,,46.491537396121885,,,,,,,,,
723,,,42.74,,,,,,,,,
724,,,46.491537396121885,,,,,,,,,
725,,,14.19,,,,,,,,,
726,,,36.99,,,,,,,,,
727,,,55.91,,,,,,,,,
728,,,9.95,,,,,,,,,
729,,,46.491537396121885,,,,,,,,,
730,,,41.16,,,,,,,,,
731,,,14.99,,,,,,,,,
732,,,15.3,,,,,,,,,
733,,,46.99,,,,,,,,,
734,,,,,,,,,,,,
735,,,46.491537396121885,,,,,,,,,
736,,,54.99,,,,,,,,,
737,,,45.89,,,,,,,,,
738,,,46.491537396121885,,,,,,,,,
739,,,54.09,,,,,,,,,
740,,,85.04,,,,,,,,,
741,,,39.95,,,,,,,,,
742,,,4.99,,,,,,,,,
743,,,73.91,,,,,,,,,
744,,,69.95,,,,,,,,,
745,,,46.491537396121885,,,,,,,,,
746,,,19.99,,,,,,,,,
747,,,33.99,,,,,,,,,
748,,,46.491537396121885,,,,,,,,,
749,,,46.491537396121885,,,,,,,,,
750,,,46.491537396121885,,,,,,,,,
751,,,46.491537396121885,,,,,,,,,
752,,,18.0,,,,,,,,,
753,,,29.95,,,,,,,,,
754,,,14.95,,,,,,,,,
